macchina;tipo macchina;spostare in;istanze;tipo istanza;easid;ruolo;performance;versione ;ip;SO;note;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201604 ;2 fire;;PSITOC00011P;FIRE;31000SMARTIT;;SI;10.01000.00294.00001;10.6.37.164;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201604 ;2 fire;spostare  GSITOG201601;FSSITOGMF604;JAVAMQ;T0001SMARTIT ;;;10.01000.00294.00001;10.6.37.164;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201605;1ws;;J88517EC005P;FEMSWS;;;;10.01000.00105.00002;10.6.37.166;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201606;4 fire;;PSITOD00005B;FIRE;400012RNIG4T;;;;10.6.37.167;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201606;4 fire;;PSITOD00006B;FIRE;400012RNIG4T;;;;10.6.37.167;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201606;4 fire;;PSITOD00007B;FIRE;400012RNIG4T;;;;10.6.37.167;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201606;4 fire;;PSITOD00008B;FIRE;400012RNIG4T;;;;10.6.37.167;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201607;2mq (sianet e t2s);;FVSITOCMF131;JAVAMQ;31000SMARTIT;;;;10.6.37.68;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSITOG201607;2mq (sianet e t2s);;FVSITOCMF375;JAVAMQT2S;37500DEPGW2C;;;;10.6.37.68;irtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201605;3 mq;;FVSITODMF804;CICSMQ;400002RNIG1T;emr;;10.01000.00105.00002;10.6.37.115;ProLiant DL380 Gen9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201605;3 mq;;FSSITOAMF120;JAVAMQ;22222SMARTIT;pri; ;10.01000.00105.00002;10.6.37.115;ProLiant DL380 Gen9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201605;3 mq;;FSSITOAMF151;CICSMQ;10000XRNIG2T;bkp;SI;10.01000.00105.00002;10.6.37.115;ProLiant DL380 Gen9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201606;vuoto mq;; ; ; ; ;; ;10.6.37.159; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201610;2ws;;J88517EC003P;FEMSWS;;; ;10.01000.00160.00001;10.6.37.153;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201610;2ws;spostare GSITOG201603;FVSITODMF445;JAVAMQT2S;44500DEPIN2D;pri;SI;10.01000.00160.00001;10.6.37.153;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201611;2ws;; J88517ES005P;FEMSWS;;;;10.01000.00160.00001;10.6.37.153;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSITOG201611;2ws;spostare  GSITOG201605;J88517ES003P;FEMSWS;;; ;10.01000.00160.00001;10.6.37.155;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USITOL201610;ITP;;FVSITOLMF110;JAVAMQT2S;55000ITPGW1T;pri; ;10.01000.00105.00002;10.8.84.55;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USITOL201611;ITP;;FVSITOLMF111;JAVAMQT2S;55000ITPGW1T;pri; ;10.01000.00105.00002;10.8.84.56;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USITOL201615;ITP;;FVSITOLMF115;JAVAMQT2S;55100ITPAC1T;pri; ;10.01000.00105.00002;10.8.90.55;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USITOL201616;ITP;;FVSITOLMF116;JAVAMQT2S;55100ITPAC1T;pri; ;10.01000.00105.00002;10.8.90.56;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOASNDA01;3 fire;;PSITOD00001P;FIRE;400002RNIG1T; ;;10.01000.00085.00000;10.201.158.98;gen-08;10.201.158.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOASNDA01;3 fire;;PSITOD00002P;FIRE;400002RNIG1T; ;;10.01000.00085.00000;10.201.158.98;gen-08;10.201.158.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOASNDA01;3 fire;;PSITOB00003P;FIRE;20000XRNIG3T; ;;10.01000.00085.00000;10.201.158.98;gen-08;10.201.158.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOASNDA01;3 fire;spostare 201602;PSITOB00002P;FIRE;12431SISISVT; ; ;10.01000.00085.00000;10.201.158.98;gen-08;10.201.158.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOCSNDA01 ;;;;;;;;;10.200.100.114;gen-08;10.200.100.115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOG201601;1ws;; JSITOAEC005P;FEMSWS;;;;10.01000.00105.00002;10.6.37.156;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201601;3 mq;istanza da cancellare;FSSITOAMF101;CICSMQ;10000XRNIG2T;pri; ;10.01000.00294.00001;10.6.37.140;virtuale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201601;3 mq;;FSSITOAMF220;JAVAMQ;22220SMARTIT;pri; ;10.01000.00160.00001;10.6.37.140;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201601;3 mq;;FSSITOCMF802;CICSMQ;30001XRNIG3T;emr; ;10.01000.00160.00001;10.6.37.140;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201601;3 mq;;FSSITOHMF300;JAVAMQ;11110SMARTIT;bkp;SI?;10.01000.00160.00001;10.6.37.140;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201601;3 mq;spostare ZSITOL201602;PSITOB00001P;FIRE;20000XRNIG3T;; ;10.01000.00160.00001;10.6.37.140;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201602;1 fire;spostare ZSITOL201601;FSSITODMF162;CICSMQ;400012RNIG4T;pri; ;10.01000.00160.00001;10.6.37.141;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201602;1 fire;istanza da cancellare;PSITOB00021P;FIRE;20000XRNIG3T;;SI;10.01000.00160.00001;10.6.37.141;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOL201602;1 fire;;PSITOC00002P;FIRE;31000SMARTIT;; ;10.01000.00160.00001;10.6.37.141;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSITOLLABA01;ITP;1;FSSITOLMF150;JAVAMQT2SG;55000ITPGW1T;bkp;;10.010.000.018.500.000;10.6.37.150;ProLiant DL380p Gen8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.200.100.0/24 Sala Europa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.201.158.0/24 Sala Helsinki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.201.159.0/24 Sala Helsinki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VERSIONI IN PROD A DIC/19:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIRE:  294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WS: 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MQ: 105  160 31 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
